,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,Busselton,100,AU,1574135320,32,-33.64,115.35,81.0,13.58
1,Cabo San Lucas,5,MX,1574135187,88,22.89,-109.91,78.01,8.05
2,Hilo,40,US,1574135347,78,19.71,-155.08,78.8,4.7
3,Rikitea,88,PF,1574135298,84,-23.12,-134.97,75.83,18.92
4,Grand Gaube,40,MU,1574135338,94,-20.01,57.66,79.0,1.12
5,Arraial do Cabo,100,BR,1574135300,87,-22.97,-42.02,72.45,15.93
6,Iqaluit,90,CA,1574135352,73,63.75,-68.52,21.2,14.99
7,Bluff,0,AU,1574135327,27,-23.58,149.07,93.15,4.76
8,Aragats,0,AM,1574135573,85,40.22,44.23,21.2,1.12
9,Provideniya,75,RU,1574135298,79,64.42,-173.23,26.6,15.66
10,Gat,64,SN,1574135577,73,14.69,-16.54,80.6,16.11
11,Nioro,51,GM,1574135578,22,13.79,-15.05,79.16,6.17
12,Chapais,90,CA,1574135352,73,49.78,-74.86,24.8,4.7
13,Ust-Kuyga,88,RU,1574135581,99,70.0,135.55,-22.22,6.91
14,Jamestown,84,AU,1574135342,9,-33.21,138.6,94.78,14.09
15,Broken Hill,37,AU,1574135425,7,-31.97,141.45,98.6,11.41
16,Atuona,0,PF,1574135353,76,-9.8,-139.03,79.7,12.21
17,Castro,20,CL,1574135366,100,-42.48,-73.76,51.8,8.05
18,Severo-Kurilsk,38,RU,1574135362,81,50.68,156.12,28.0,10.2
19,Punta Arenas,75,CL,1574135135,65,-53.16,-70.91,46.4,6.93
20,Show Low,1,US,1574135591,41,34.25,-110.03,48.2,8.05
21,Alofi,75,NU,1574135592,74,-19.06,-169.92,80.6,9.17
22,Mar del Plata,100,AR,1574135358,41,-46.43,-67.52,62.02,34.31
23,Georgetown,20,GY,1574135202,94,6.8,-58.16,77.0,4.7
24,Tingo Maria,54,PE,1574135596,93,-9.29,-76.01,59.83,3.76
25,Ushuaia,40,AR,1574135315,75,-54.81,-68.31,44.6,9.17
26,Bermeo,75,ES,1574135599,100,43.42,-2.72,43.0,4.7
27,Kyzyl-Suu,0,KG,1574135600,59,42.34,78.0,31.73,7.4
28,Port Alfred,100,ZA,1574135348,73,-33.59,26.89,57.31,14.67
29,Hualmay,73,PE,1574135603,84,-11.1,-77.61,61.02,2.68
30,Saint-Philippe,90,CA,1574135309,68,45.36,-73.48,30.0,8.05
31,Acajutla,0,SV,1574135607,60,13.59,-89.83,83.07,3.6
32,Salt,0,ES,1574135608,92,41.97,2.79,48.99,4.7
33,Mnogovershinnyy,100,RU,1574135610,96,53.94,139.92,22.68,14.45
34,Airai,3,TL,1574135435,25,-8.93,125.41,87.96,8.7
35,Pucallpa,75,PE,1574135613,83,-8.38,-74.54,82.4,6.93
36,Tasiilaq,100,GL,1574135344,55,65.61,-37.64,35.6,32.21
37,Murray Bridge,0,AU,1574135616,49,-35.12,139.28,86.0,3.0
38,Khatanga,100,RU,1574135617,96,71.98,102.47,-0.6,9.19
39,Bonavista,94,CA,1574135619,85,48.65,-53.11,37.99,5.01
40,Opuwo,0,NA,1574135620,32,-18.06,13.84,62.51,8.08
41,Klaksvik,100,FO,1574135453,80,62.23,-6.59,33.8,1.12
42,Hermanus,16,ZA,1574135359,79,-34.42,19.24,55.99,1.99
43,Olinda,75,AU,1574135625,45,-37.84,145.39,73.0,11.41
44,Dingle,15,PH,1574135626,73,11.0,122.67,84.07,3.83
45,Pacifica,90,US,1574135627,93,37.61,-122.49,64.4,8.05
46,Hebi,0,CN,1574135629,17,35.75,114.29,50.58,0.29
47,Psygansu,90,RU,1574135630,100,43.42,43.79,33.8,2.24
48,Vaini,40,IN,1574135309,69,15.34,74.49,75.2,3.36
49,Mataura,100,NZ,1574135324,72,-46.19,168.86,55.0,13.0
50,Torbay,90,CA,1574135353,86,47.66,-52.73,39.0,8.05
51,Pasir Gudang,75,MY,1574135637,74,1.46,103.88,86.0,4.7
52,Carnarvon,100,ZA,1574135638,55,-30.97,22.13,49.71,9.17
53,Barrow,70,AR,1574135310,70,-38.31,-60.23,49.84,3.56
54,Namibe,54,AO,1574135642,80,-15.19,12.15,69.84,15.99
55,Nikolskoye,90,RU,1574135301,87,59.7,30.79,43.0,17.9
56,Bambous Virieux,40,MU,1574135645,94,-20.34,57.76,78.01,1.12
57,Saskylakh,100,RU,1574135329,96,71.97,114.09,-2.29,11.88
58,Jasper,1,US,1574135647,75,33.83,-87.28,46.99,3.56
59,Albany,90,US,1574135350,98,42.65,-73.75,37.0,3.36
60,Mangai,97,CD,1574135650,98,-4.07,19.59,69.78,0.49
61,Richards Bay,33,ZA,1574135332,84,-28.77,32.06,70.95,13.38
62,Vestmannaeyjar,100,IS,1574135439,87,63.44,-20.27,43.84,50.85
63,Makakilo City,75,US,1574135655,69,21.35,-158.09,84.2,9.17
64,Avarua,31,CK,1574135365,73,-21.21,-159.78,77.0,12.75
65,Tuktoyaktuk,5,CA,1574135484,75,69.44,-133.03,-13.0,6.93
66,Mazatlan,75,MX,1574135659,83,23.22,-106.42,82.0,2.24
67,Ponta do Sol,100,BR,1574135370,90,-20.63,-46.0,66.92,3.02
68,Grindavik,90,IS,1574135683,80,63.84,-22.43,42.8,31.09
69,Victoria,75,BN,1574135340,70,5.28,115.24,86.0,4.7
70,Khani,0,GE,1574135686,60,41.96,42.96,42.8,5.82
71,Sangar,100,RU,1574135687,96,63.92,127.47,-19.08,0.67
72,Naze,40,NG,1574135688,100,5.43,7.07,75.2,2.77
73,Hasaki,75,JP,1574135331,82,35.73,140.83,66.2,2.24
74,Thinadhoo,30,MV,1574135600,80,0.53,72.93,82.29,10.29
75,Chokurdakh,0,RU,1574135350,97,70.62,147.9,-10.52,2.51
76,Kodiak,90,US,1574135303,75,39.95,-94.76,53.01,9.17
77,Pevek,100,RU,1574135307,98,69.7,170.27,-2.6,5.59
78,Qaanaaq,100,GL,1574135331,53,77.48,-69.36,7.18,7.16
79,Yulara,0,AU,1574135406,5,-25.24,130.99,98.6,5.82
80,Huarmey,2,PE,1574135699,86,-10.07,-78.15,59.95,0.45
81,Ilulissat,87,GL,1574135301,79,69.22,-51.1,19.4,3.36
82,Kuala Terengganu,75,MY,1574135702,88,5.33,103.14,80.6,4.7
83,Aksay,100,KZ,1574135703,91,51.17,53.01,34.68,8.41
84,Cherskiy,0,RU,1574135461,97,68.75,161.3,-17.14,2.01
85,Moryakovskiy Zaton,75,RU,1574135706,84,56.7,84.65,1.0,6.71
86,Satipo,16,PE,1574135708,96,-11.26,-74.64,60.71,5.26
87,Talnakh,75,RU,1574135679,84,69.49,88.39,-0.4,2.24
88,Cape Town,20,ZA,1574135219,58,-33.93,18.42,59.0,10.29
89,Krasnoshchekovo,100,RU,1574135712,94,51.67,82.73,24.53,15.41
90,Hithadhoo,51,MV,1574135358,79,-0.6,73.08,82.38,12.33
91,Neepawa,90,CA,1574135714,86,50.23,-99.46,37.4,12.75
92,Geraldton,90,CA,1574135372,98,49.72,-86.95,32.0,3.36
93,Port Elizabeth,90,US,1574135097,75,39.31,-74.98,43.0,5.82
94,Bredasdorp,37,ZA,1574135740,81,-34.53,20.04,51.8,5.82
95,Leningradskiy,81,RU,1574135742,91,69.38,178.42,13.3,7.54
96,Mahebourg,40,MU,1574135108,94,-20.41,57.7,79.0,1.12
97,Tessalit,100,ML,1574135746,21,20.2,1.01,61.0,10.18
98,Taltal,0,CL,1574135747,83,-25.41,-70.49,55.2,3.22
99,Fereydunshahr,99,IR,1574135749,94,32.94,50.12,24.24,3.42
100,Ambilobe,41,MG,1574135751,76,-13.19,49.05,78.49,7.76
101,Mehamn,93,NO,1574135752,88,71.03,27.85,32.0,26.4
102,Teya,5,MX,1574135427,88,21.05,-89.07,72.0,1.92
103,Constitucion,40,MX,1574135755,76,23.99,-104.67,57.99,3.36
104,Honningsvag,100,NO,1574135448,81,70.98,25.97,32.0,26.4
105,Yellowknife,5,CA,1574135322,83,62.45,-114.38,-7.01,9.17
106,Gravelbourg,0,CA,1574135759,81,49.88,-106.56,33.6,8.05
107,Narsaq,100,GL,1574135761,30,60.91,-46.05,44.6,11.41
108,Kamenka,100,MD,1574135763,94,48.03,28.7,46.0,6.42
109,Depalpur,48,PK,1574135764,34,30.67,73.65,68.0,1.39
110,New Norfolk,75,AU,1574135356,58,-42.78,147.06,62.01,19.46
111,Wencheng,0,CN,1574135767,36,27.79,120.09,51.91,5.06
112,Upernavik,100,GL,1574135413,88,72.79,-56.15,20.86,10.65
113,Lata,0,IN,1574135770,12,30.78,78.62,31.64,4.36
114,Bathsheba,20,BB,1574135772,78,13.22,-59.52,80.6,5.82
115,Gizo,0,IL,1574135774,21,31.8,34.94,62.01,5.82
116,Ahipara,100,NZ,1574135775,65,-35.17,173.16,71.01,1.01
117,Terrak,100,NO,1574135777,75,65.09,12.37,41.0,26.4
118,Arlit,0,NE,1574135780,15,18.74,7.39,77.11,3.47
119,Valday,99,RU,1574135781,95,57.98,33.25,38.41,8.7
120,Camacha,40,PT,1574135783,82,33.08,-16.33,64.4,3.36
121,Kununurra,0,AU,1574135784,18,-15.77,128.74,102.2,8.05
122,Dikson,100,RU,1574135304,94,73.51,80.55,16.57,13.6
123,Sinnamary,42,GF,1574135787,80,5.38,-52.96,82.36,16.78
124,Puerto Colombia,75,CO,1574135789,78,10.99,-74.96,82.4,11.41
125,Hobart,75,AU,1574135374,58,-42.88,147.33,62.01,19.46
126,Puerto Ayora,89,EC,1574135323,85,-0.74,-90.35,70.0,5.01
127,Kjollefjord,93,NO,1574135793,84,70.95,27.35,32.0,26.4
128,Tuatapere,25,NZ,1574135451,70,-46.13,167.69,55.99,13.0
129,Chuy,29,UY,1574135358,84,-33.69,-53.46,67.24,5.99
130,Kralendijk,3,BQ,1574135798,83,12.15,-68.27,78.8,3.36
131,Pangoa,84,PE,1574135799,83,-12.12,-73.0,71.11,2.8
132,College,75,US,1574135801,77,64.86,-147.8,1.4,2.3
133,Kaliua,4,TZ,1574135803,94,-5.06,31.79,64.0,3.22
134,Butaritari,91,KI,1574135348,61,3.07,172.79,83.82,5.48
135,Lewiston,90,US,1574135807,86,44.1,-70.21,36.0,13.87
136,North Bend,20,US,1574135809,93,43.41,-124.22,55.99,9.17
137,Touros,40,BR,1574135811,78,-5.2,-35.46,78.8,6.93
138,Ornskoldsvik,100,SE,1574135533,100,63.29,18.72,35.6,5.82
139,Lorengau,59,PG,1574135443,70,-2.02,147.27,84.81,8.59
140,Balabac,95,PH,1574135815,69,7.99,117.06,85.46,3.85
141,Gobabis,94,NA,1574135816,28,-22.45,18.97,70.99,14.63
142,Luderitz,100,NA,1574135542,71,-26.65,15.16,55.4,11.41
143,Lompoc,1,US,1574135467,71,34.64,-120.46,60.8,3.36
144,Pangnirtung,98,CA,1574135303,89,66.15,-65.72,12.54,3.27
145,Tiksi,96,RU,1574135822,87,71.64,128.87,-9.47,5.03
146,Caravelas,71,BR,1574135824,94,-17.73,-39.27,71.58,2.17
147,Fortuna,90,US,1574135316,100,40.6,-124.16,57.99,3.36
148,Petropavlovsk-Kamchatskiy,0,RU,1574135360,50,53.05,158.65,30.2,2.24
149,Marathon,100,CA,1574135828,86,48.72,-86.38,38.14,4.09
150,Ribeira Grande,100,PT,1574135426,70,38.52,-28.7,57.13,12.73
151,Riviere-au-Renard,90,CA,1574135831,79,49.0,-64.4,21.2,4.7
152,Shingu,40,JP,1574135433,47,33.72,135.99,59.0,23.04
153,Bethanien,73,NA,1574135834,47,-26.5,17.16,58.96,4.18
154,Kaitangata,95,NZ,1574135310,82,-46.28,169.85,51.84,16.11
155,Thompson,90,CA,1574135451,92,55.74,-97.86,19.4,8.05
156,Tocopilla,0,CL,1574135838,27,-22.09,-70.2,55.4,1.59
157,Muros,20,ES,1574135344,100,42.77,-9.06,52.0,4.7
158,Kosh-Agach,100,RU,1574135841,80,49.99,88.66,6.85,1.86
159,Shubarshi,80,KZ,1574135843,87,48.59,57.19,28.72,11.79
160,Sao Bartolomeu de Messines,100,PT,1574135844,81,37.26,-8.29,48.99,3.36
161,Sitka,67,US,1574135417,49,37.17,-99.65,53.01,1.01
162,Keti Bandar,100,PK,1574135848,58,24.14,67.45,76.82,5.84
163,Cap Malheureux,40,MU,1574135849,94,-19.98,57.61,78.01,1.12
164,Kanniyakumari,5,IN,1574135850,74,8.08,77.57,82.22,13.78
165,Jian,0,IN,1574135852,48,25.65,87.89,71.69,8.01
166,Cockburn Town,51,TC,1574135853,74,21.46,-71.14,81.03,12.68
167,Saldanha,81,PT,1574135431,88,41.42,-6.55,37.58,0.78
168,Sistranda,75,NO,1574135856,93,63.73,8.83,39.99,6.93
169,Ewa Beach,40,US,1574135858,54,21.32,-158.01,84.2,14.99
170,Nanortalik,100,GL,1574135860,86,60.14,-45.24,36.77,10.47
171,Salou,0,ES,1574135665,93,41.08,1.14,46.0,2.24
172,Nuristan,83,UZ,1574135862,44,38.49,65.64,37.4,4.7
173,Rio Grande,100,BR,1574135364,90,-32.03,-52.1,69.01,1.01
174,Comodoro Rivadavia,100,AR,1574135865,45,-45.87,-67.48,64.4,13.87
175,Presidente Olegario,100,BR,1574135866,100,-18.42,-46.42,66.99,3.22
176,Moosomin,100,CA,1574135868,94,50.14,-101.67,37.49,17.38
177,Panevezys,90,LT,1574135869,87,55.73,24.35,44.6,17.22
178,Kloulklubed,75,PW,1574135367,74,7.04,134.26,86.0,6.93
179,Tahoua,41,NE,1574135872,25,14.89,5.26,77.0,4.7
180,Manokwari,87,ID,1574135873,87,-0.87,134.08,77.38,2.93
181,Mandera,100,ET,1574135876,23,3.94,41.86,72.0,7.43
182,Byron Bay,0,AU,1574135877,61,-28.65,153.62,95.0,18.34
183,Velka Bites,75,CZ,1574135878,100,49.29,16.23,44.01,8.05
184,Inirida,76,CO,1574135880,85,3.87,-67.92,74.61,1.74
185,Dolinsk,75,RU,1574135881,92,47.32,142.8,26.6,13.42
186,Hami,92,CN,1574135883,18,42.84,93.51,28.08,4.36
187,Joshimath,0,IN,1574135884,14,30.57,79.57,48.07,4.34
188,Kaduna,0,NG,1574135886,48,10.52,7.44,72.61,2.15
189,Vostok,98,RU,1574135887,84,46.45,135.83,6.57,11.05
190,Homer,90,US,1574135889,77,59.64,-151.54,35.01,2.77
191,Morrinhos,100,BR,1574135891,91,-17.73,-49.11,69.03,3.02
192,Salalah,20,OM,1574135893,73,17.01,54.1,77.0,3.36
193,Pacific Grove,1,US,1574135894,71,36.62,-121.92,62.01,5.82
194,Pokhara,62,NP,1574135895,70,28.21,83.99,66.79,1.19
195,Pathein,26,MM,1574135897,64,16.78,94.73,82.8,3.47
196,East London,40,ZA,1574135897,72,-33.02,27.91,59.0,8.05
197,Ayan,42,IR,1574135900,51,38.23,44.7,23.07,4.12
198,Pho Chai,20,TH,1574135901,51,16.33,103.77,84.2,14.99
199,Okha,100,RU,1574135891,81,53.59,142.95,27.93,19.33
200,Deniliquin,0,AU,1574135925,17,-35.53,144.96,91.99,11.01
201,Husavik,100,CA,1574135926,94,50.56,-96.99,37.99,3.96
202,Norman Wells,40,CA,1574135928,75,65.28,-126.83,-13.0,2.55
203,Peleduy,95,RU,1574135929,92,59.63,112.75,-19.39,1.41
204,Doha,40,QA,1574135932,61,25.29,51.53,78.8,4.7
205,Miranda,19,BR,1574135934,41,-20.24,-56.38,77.68,1.79
206,Kapaa,20,US,1574135935,69,22.08,-159.32,82.4,9.17
207,Silopi,0,IQ,1574135937,27,37.25,42.47,46.49,2.95
208,Zhezkazgan,90,KZ,1574135938,92,47.8,67.71,21.2,6.71
209,Ossora,100,RU,1574135940,93,59.24,163.07,25.2,25.41
210,Hambantota,40,LK,1574135941,94,6.12,81.12,82.4,11.54
211,Lebu,40,ET,1574135942,71,8.96,38.73,57.2,2.24
212,Nuuk,98,GL,1574135944,85,64.17,-51.74,24.8,3.36
213,Kruisfontein,1,ZA,1574135946,76,-34.0,24.73,51.71,9.31
214,Port-Gentil,64,GA,1574135947,80,-0.72,8.78,80.2,8.7
215,Bilibino,0,RU,1574135950,97,68.06,166.44,-10.57,2.82
216,Sorrento,100,AU,1574135952,39,-31.82,115.75,80.6,14.99
217,Portland,90,US,1574135954,93,43.66,-70.25,37.99,6.93
218,Sigli,96,ID,1574135955,73,5.38,95.96,81.54,3.29
219,Tilichiki,98,RU,1574135957,80,60.47,166.1,8.98,11.27
220,Ambon,33,FR,1574135958,100,47.55,-2.56,44.01,3.36
221,Pimentel,0,BR,1574135959,81,-3.7,-45.5,76.57,4.25
222,Meulaboh,100,ID,1574135961,75,4.14,96.13,78.85,1.41
223,Chitral,0,PK,1574135962,33,35.85,71.79,19.49,8.55
224,Maumere,0,ID,1574135964,62,-8.63,122.22,84.04,7.31
225,Acapulco,75,MX,1574135965,74,16.86,-99.88,84.2,6.93
226,Viedma,74,AR,1574135967,47,-40.81,-62.99,58.21,13.62
227,Ostrovnoy,54,RU,1574135968,93,68.05,39.51,17.46,11.34
228,Muisne,90,EC,1574135990,85,0.61,-80.02,74.59,6.46
229,Lagoa,100,PT,1574135992,81,37.14,-8.45,48.99,3.36
230,Moron,79,HT,1574135993,80,18.56,-74.26,78.21,3.85
231,Katsuura,75,JP,1574135994,47,33.93,134.5,60.01,16.11
232,Daru,49,PG,1574135996,67,-9.07,143.21,84.96,9.04
233,Krutinka,99,RU,1574135997,92,56.01,71.51,-14.64,11.23
234,Bima,0,ID,1574135998,24,-8.45,118.73,100.47,1.72
235,Libreville,75,GA,1574136000,88,0.39,9.45,80.6,6.93
236,Longyearbyen,75,NO,1574136003,69,78.22,15.63,33.8,13.87
237,Luocheng,0,CN,1574136004,38,28.29,114.55,58.17,1.9
238,Pyay,0,MM,1574136005,73,18.82,95.22,76.6,4.0
239,Nantucket,90,US,1574136007,93,41.28,-70.1,46.4,20.8
240,Adrar,0,DZ,1574136008,33,27.87,-0.29,46.4,6.93
241,Popondetta,100,PG,1574136009,89,-8.77,148.24,69.73,0.72
242,Ghanzi,51,BW,1574136011,57,-21.7,21.65,75.2,7.87
243,Dunedin,100,NZ,1574136012,89,-45.87,170.5,52.61,11.32
244,Bonthe,67,SL,1574136013,84,7.53,-12.5,78.82,3.83
245,Mount Isa,57,AU,1574136015,6,-20.73,139.49,104.0,8.05
246,Tautira,75,PF,1574136016,78,-17.73,-149.15,78.8,3.36
247,Sola,92,TZ,1574136018,87,-3.17,33.8,66.15,6.33
248,Taoudenni,99,ML,1574136019,14,22.68,-3.98,56.34,5.91
249,Aklavik,20,CA,1574136020,75,68.22,-135.01,-18.4,4.5
250,Cidreira,0,BR,1574136022,80,-30.17,-50.22,70.63,23.8
251,Sao Francisco de Paula,0,BR,1574136023,72,-29.45,-50.58,69.01,1.99
252,Havoysund,100,NO,1574136025,78,71.0,24.66,32.0,21.92
253,Pochutla,90,MX,1574136026,64,15.74,-96.47,78.01,8.05
254,Nexo,0,DK,1574136027,70,55.06,15.13,44.6,24.16
255,Penzance,100,GB,1574136030,81,50.12,-5.53,51.01,12.75
256,Vila Velha,75,BR,1574135732,74,-3.71,-38.6,86.0,8.05
257,Alexandria,0,RO,1574135842,98,43.97,25.33,53.01,3.51
258,Monterey,1,US,1574136034,71,36.6,-121.89,62.01,5.82
259,San Patricio,0,PY,1574136035,70,-26.98,-56.83,73.87,5.26
260,Hennebont,75,FR,1574136037,100,47.81,-3.27,46.99,6.93
261,Nakamura,40,JP,1574136038,44,35.17,136.87,59.0,17.22
262,Umm Lajj,0,SA,1574136040,46,25.02,37.27,69.76,8.37
263,Souillac,0,FR,1574136042,100,45.6,-0.6,35.01,2.24
264,Gunnedah,0,AU,1574136064,7,-30.98,150.25,93.99,12.75
265,Missoula,75,US,1574136066,81,46.87,-114.0,42.8,4.23
266,Hofn,100,IS,1574136067,71,64.25,-15.21,42.42,24.72
267,Rome,40,IT,1574135772,63,41.89,12.48,62.6,12.75
268,Kendari,20,ID,1574136071,41,-3.99,122.52,92.93,7.18
269,Krasnyy Chikoy,95,RU,1574136072,70,50.36,108.75,-1.8,1.9
270,Santa Cruz Cabralia,75,BR,1574136073,88,-16.28,-39.02,73.4,3.36
271,Goderich,100,CA,1574136075,95,43.74,-81.71,37.0,1.01
272,Praia,90,BR,1574136076,82,-20.25,-43.81,68.0,3.36
273,Adeje,5,NG,1574136078,96,5.68,5.76,75.11,1.92
274,Tecoanapa,75,MX,1574136079,74,16.99,-99.26,84.2,6.93
