,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
275,Xining,100,CN,1574136080,30,36.62,101.77,30.63,2.35
276,La Ronge,90,CA,1574136082,86,55.1,-105.3,26.6,16.11
277,Nybro,100,SE,1574136083,93,56.75,15.91,46.4,6.93
278,Margate,75,AU,1574136084,58,-43.03,147.26,62.01,19.46
279,Miri,0,NG,1574136086,33,10.31,9.75,73.65,4.32
280,Herat,75,AF,1574135823,60,34.35,62.22,39.2,2.86
281,Williamsport,90,US,1574136089,86,41.25,-77.0,37.4,3.31
282,Vanimo,100,PG,1574136091,72,-2.67,141.3,83.98,10.0
283,Selma,48,US,1574136092,93,32.41,-87.02,44.6,4.99
284,Djenne,14,ML,1574136093,17,13.91,-4.55,76.41,10.96
285,Bitlis,0,TR,1574135935,45,38.4,42.11,29.66,2.84
286,Vardo,90,US,1574136096,100,39.62,-77.74,39.99,2.48
287,Malinyi,74,TZ,1574136097,85,-8.94,36.14,74.48,1.5
288,Mecca,2,SA,1574135950,73,21.43,39.83,73.35,1.9
289,Biak,76,ID,1574136100,72,-0.91,122.88,82.62,5.95
290,Baykit,0,RU,1574136102,92,61.68,96.39,-22.45,3.51
291,Faanui,1,PF,1574136104,72,-16.48,-151.75,79.93,7.72
292,Luan,100,CH,1574136105,100,46.36,6.98,34.0,2.24
293,Klingenthal,62,DE,1574136107,75,50.36,12.47,42.01,14.99
294,Peniche,100,PT,1574136037,100,39.36,-9.38,48.99,4.7
295,Nome,1,US,1574136109,87,30.04,-94.42,53.01,0.38
296,Okhotsk,26,RU,1574136111,73,59.36,143.24,-2.16,12.35
297,Bagnols-sur-Ceze,43,FR,1574136004,65,44.16,4.62,44.6,24.16
298,Rio Gallegos,90,AR,1574136114,71,-51.62,-69.22,50.0,4.7
299,Picos,41,BR,1574136115,72,-7.08,-41.47,76.71,2.46
300,Saint George,20,GR,1574136116,100,39.45,22.34,51.8,0.63
301,San Francisco,100,CO,1574135963,93,1.17,-76.88,53.11,2.66
302,Caluquembe,85,AO,1574136120,55,-13.78,14.68,57.42,6.6
303,Mantua,75,IT,1574136000,76,45.16,10.79,53.01,5.82
304,Doka,59,SD,1574136123,33,13.52,35.76,76.32,5.77
305,Tarakan,40,ID,1574136126,74,3.3,117.63,87.8,5.82
306,Natal,40,BR,1574136017,74,-5.81,-35.21,78.8,14.99
307,Poum,18,MK,1574136129,82,41.28,20.71,41.63,4.16
308,Lima,75,PE,1574136124,82,-12.06,-77.04,66.2,12.75
309,Pekalongan,100,ID,1574136132,49,-6.89,109.67,91.81,2.17
310,Srikakulam,30,IN,1574136133,69,18.29,83.89,76.96,4.34
311,Fenelon Falls,90,CA,1574136134,98,44.54,-78.74,35.01,4.52
312,Zhangjiakou,0,CN,1574136136,19,40.77,114.88,20.89,9.89
313,Komsomolskiy,25,RU,1574136137,85,67.55,63.78,-9.99,3.22
314,Verona,75,IT,1574136062,76,45.44,10.99,52.0,5.82
315,Capim Grosso,64,BR,1574136140,79,-11.38,-40.01,70.74,7.9
316,Oranjemund,69,ZA,1574136141,83,-28.55,16.43,53.29,11.3
317,Martapura,98,ID,1574136142,65,-3.41,114.85,87.87,1.52
318,Sungaipenuh,70,ID,1574136144,64,-2.08,101.38,76.24,3.04
319,Saint Simons,1,US,1574136146,100,31.14,-81.39,53.6,2.89
320,Pisco,90,PE,1574136147,82,-13.71,-76.2,66.2,12.75
321,Fontem,98,CM,1574136036,76,5.49,9.85,61.81,3.69
322,Saint-Pierre,78,FR,1574136150,100,48.95,4.24,39.2,5.82
323,Turtas,100,RU,1574136153,95,58.94,69.13,-16.98,7.02
324,Kokopo,1,PG,1574136155,70,-4.34,152.27,83.32,3.89
325,Omsukchan,0,RU,1574136156,96,62.53,155.8,-18.22,2.55
326,Puerto del Rosario,40,ES,1574136154,82,28.5,-13.86,64.4,5.82
327,Monrovia,100,LR,1574136161,83,6.33,-10.8,79.63,2.3
328,El Reno,1,US,1574136140,58,35.53,-97.96,60.01,10.29
329,Isangel,75,VU,1574136164,65,-19.55,169.27,82.4,16.11
330,Gorele,0,TR,1574136165,54,41.03,39.0,55.4,8.05
331,Nyagan,90,RU,1574136168,94,62.14,65.43,-15.54,8.99
332,Cao Bang,100,VN,1574136169,66,22.67,106.25,60.39,2.73
333,Mahibadhoo,46,MV,1574136170,77,3.78,72.97,82.78,8.14
334,Srednekolymsk,44,RU,1574136172,97,67.46,153.71,-14.19,7.18
335,Flinders,0,AU,1574136173,7,-34.58,150.85,99.0,17.22
336,Nacala,100,MZ,1574136174,93,-14.56,40.69,75.2,0.72
337,Haines Junction,99,CA,1574136176,96,60.75,-137.51,22.75,7.36
338,Ust-Tsilma,0,RU,1574136177,89,65.44,52.15,-4.0,3.13
339,Novikovo,0,RU,1574136178,92,51.15,37.89,31.46,3.74
340,Abu Samrah,0,SY,1574136180,32,35.3,37.18,49.48,3.49
341,River Falls,90,US,1574136181,80,44.86,-92.63,37.0,3.36
342,Maniitsoq,98,GL,1574136182,88,65.42,-52.9,27.32,14.61
343,Male,5,UA,1574136184,94,50.74,33.7,32.88,0.98
344,Ruston,1,US,1574136185,87,32.52,-92.64,46.0,4.14
345,Zyryanovsk,100,KZ,1574136187,96,49.74,84.27,24.15,4.92
346,La Palma,18,CO,1574136188,96,5.36,-74.39,67.82,2.21
347,Linhares,100,BR,1574136049,95,-19.38,-40.06,73.02,1.21
348,Vinh,98,VN,1574136191,82,18.67,105.69,65.57,6.22
349,Riyadh,75,SA,1574135942,88,24.63,46.72,62.6,3.36
350,Avera,1,US,1574136193,71,33.19,-82.53,53.01,5.82
351,Fairbanks,75,US,1574136195,77,64.84,-147.72,1.99,0.36
352,Longyan,0,CN,1574136196,99,25.1,117.03,68.0,5.01
353,Santa Isabel do Rio Negro,100,BR,1574136197,82,-0.41,-65.02,76.5,2.71
354,Sabya,0,SA,1574136199,69,17.15,42.62,80.6,5.82
355,Erdenet,100,MN,1574136201,76,49.03,104.04,4.53,3.8
356,Teguldet,100,RU,1574136202,95,57.31,88.17,19.83,5.57
357,Puerto Escondido,90,MX,1574136204,64,15.86,-97.07,75.2,8.05
358,Terre-de-Bas,0,GP,1574136205,100,15.85,-61.64,73.4,3.36
359,Capreol,90,CA,1574136206,98,46.71,-80.92,33.01,8.05
360,Port Macquarie,90,AU,1574136208,25,-31.43,152.91,91.0,11.41
361,Ceres,100,BR,1574136210,93,-15.31,-49.6,69.64,5.28
362,Ottawa,90,CA,1574136059,68,45.42,-75.69,27.0,6.93
363,Tadine,100,NC,1574136213,60,-21.55,167.88,78.51,9.37
364,Bataipora,57,BR,1574136214,51,-22.3,-53.27,73.22,2.89
365,Vila Franca do Campo,40,PT,1574136215,77,37.72,-25.43,59.0,5.82
366,Laguna,40,BZ,1574136217,94,16.17,-88.94,71.6,2.48
367,Gueret,90,FR,1574136005,100,46.17,1.87,39.99,2.24
368,Ryotsu,75,JP,1574136220,62,38.08,138.43,55.4,16.11
369,Bara,0,NG,1574136222,34,10.41,10.6,73.87,3.31
370,Karratha,0,AU,1574136223,80,-20.74,116.85,79.74,14.12
371,Kulhudhuffushi,59,MV,1574136225,73,6.62,73.07,83.12,6.85
372,Tambong,25,ID,1574136226,80,-8.27,114.3,80.55,7.87
373,Tvedestrand,100,NO,1574136228,93,58.62,8.93,42.8,8.05
374,Gdov,100,RU,1574136229,89,58.74,27.82,42.21,8.86
375,Kenai,90,US,1574136230,80,60.55,-151.26,32.0,6.93
376,Nouadhibou,3,MR,1574136232,59,20.93,-17.03,64.4,11.41
377,Nautanwa,96,NP,1574136233,66,27.43,83.42,68.2,2.84
378,Esperance,100,AU,1574136234,39,-33.86,121.89,78.8,6.93
379,Hobyo,100,SO,1574136236,85,5.35,48.53,77.65,10.58
380,Beira,100,ES,1574136237,100,43.2,-8.36,51.01,9.17
381,Tumpat,75,MY,1574136239,88,6.2,102.17,86.0,2.53
382,Kamina,100,CD,1574136240,98,-8.74,25.0,64.0,2.62
383,Bayshore Gardens,1,US,1574136242,93,27.43,-82.59,66.99,3.36
384,Sayyan,7,YE,1574136243,56,15.17,44.32,51.35,0.74
385,Bahia Blanca,93,AR,1574136244,43,-38.72,-62.27,59.22,10.31
386,Tukums,90,LV,1574135991,93,56.97,23.17,42.8,12.75
387,Faya,33,SA,1574136247,76,18.39,42.45,51.8,1.74
388,Kirakira,94,SB,1574136249,90,-10.46,161.92,77.18,6.11
389,Lashio,0,MM,1574135995,50,22.93,97.75,73.29,0.54
390,Porto Empedocle,100,IT,1574136254,87,37.29,13.53,55.99,5.66
391,Pasuruan,10,ID,1574136255,77,-7.64,112.91,82.08,6.78
392,Polovinnoye,86,RU,1574136256,88,54.79,65.99,-4.61,11.68
393,Lasa,32,CY,1574136258,40,34.92,32.53,55.4,10.29
394,Mazagao,90,BR,1574136259,100,-0.12,-51.29,77.0,3.36
395,Gorin,0,BF,1574136261,26,12.34,-0.67,78.17,8.63
396,Beloha,0,MG,1574136262,81,-25.17,45.06,72.1,4.16
397,Hajan,12,YE,1574136263,70,14.68,44.13,64.31,1.16
398,Challans,90,FR,1574136265,91,46.85,-1.88,39.2,2.24
399,Iquique,90,CL,1574136266,77,-20.22,-70.14,66.2,3.36
400,Yanam,20,IN,1574136268,70,16.73,82.22,84.2,6.93
401,Calabozo,0,VE,1574136270,82,8.92,-67.43,75.56,3.71
402,Kayseri,0,TR,1574136169,79,38.73,35.48,26.6,2.15
403,Palana,93,RU,1574136272,70,59.08,159.95,18.34,2.59
404,Marsh Harbour,100,BS,1574136275,70,26.54,-77.06,71.82,10.94
405,Coihaique,90,CL,1574136277,71,-45.58,-72.07,53.6,6.93
406,Isagarh,64,IN,1574136278,53,24.84,77.89,68.97,1.66
407,Ponta Delgada,20,PT,1574136125,77,37.73,-25.67,59.0,8.05
408,Raudeberg,99,NO,1574136281,93,61.99,5.14,37.99,5.82
409,Fort Saint James,91,CA,1574136283,96,54.43,-124.25,29.12,1.52
410,Necochea,67,AR,1574136284,94,-38.55,-58.74,50.0,3.98
411,Utete,100,TZ,1574136285,97,-7.99,38.76,73.0,1.68
412,Mbala,92,ZM,1574136287,91,-8.85,31.37,61.2,2.24
413,Japura,97,ID,1574136289,54,-0.42,102.29,90.73,0.25
414,Betafo,23,MG,1574136290,84,-19.84,46.86,62.24,1.7
415,Codrington,0,AU,1574136292,17,-28.95,153.24,95.0,8.05
416,Macau,87,BR,1574136294,80,-5.11,-36.64,78.57,22.03
417,Freeport,83,BS,1574136295,61,26.54,-78.7,71.56,10.8
418,Melbu,75,NO,1574136269,75,68.5,14.83,41.0,25.28
419,Rondonopolis,76,BR,1574136041,83,-16.46,-54.64,74.43,2.3
420,Harper,1,US,1574136299,70,30.3,-99.24,59.0,10.96
421,Douentza,95,ML,1574136301,17,15.01,-2.95,71.85,5.57
422,Marolambo,83,MG,1574136302,91,-20.05,48.13,68.95,1.63
423,Eureka,90,US,1574136173,100,40.8,-124.16,57.99,3.36
424,Roald,100,NO,1574136306,93,62.58,6.12,37.4,9.17
425,Salinopolis,7,BR,1574136307,80,-0.61,-47.36,81.84,14.03
426,Krasnyy Luch,90,RU,1574136309,90,55.97,38.97,32.0,4.47
427,Dosso,46,NE,1574136310,16,13.05,3.19,78.21,5.21
428,Pyrzyce,14,PL,1574136311,80,53.15,14.89,43.0,16.11
429,Berezovyy,100,RU,1574136313,71,51.67,135.7,14.76,4.45
430,Maues,100,BR,1574136314,92,-3.38,-57.72,72.54,1.01
431,Vidim,42,CZ,1574136315,80,50.47,14.53,41.0,8.05
432,Plettenberg Bay,77,ZA,1574136058,68,-34.05,23.37,56.55,7.81
433,Te Anau,50,NZ,1574136318,72,-45.41,167.72,48.9,11.27
434,Baiyin,98,CN,1574136319,47,36.55,104.13,33.8,4.47
435,Naron,100,ES,1574136321,100,43.52,-8.15,48.0,9.17
436,Serebryansk,100,KZ,1574136322,96,49.68,83.3,23.5,2.86
437,Bukama,100,CD,1574136323,99,-9.2,25.85,69.66,0.27
438,Prince George,75,CA,1574136325,92,53.92,-122.75,30.99,2.55
439,Andros Town,40,BS,1574136326,73,24.73,-77.79,69.8,5.82
440,Miragoane,14,HT,1574136327,71,18.44,-73.09,80.96,4.21
441,Cabedelo,20,BR,1574136329,78,-6.97,-34.84,78.8,8.05
442,Nishihara,20,JP,1574136330,88,35.74,139.53,72.0,5.82
443,Mao,40,DO,1574136332,88,19.55,-71.08,79.0,5.82
444,Naraini,40,IN,1574136333,88,25.19,80.47,64.4,2.24
445,Lunenburg,100,CA,1574136334,95,44.38,-64.32,43.0,3.0
446,Palekh,100,RU,1574136336,90,56.8,41.85,37.13,4.85
447,Loknya,94,RU,1574136337,96,54.21,39.24,36.0,3.47
448,Cruzeiro do Sul,40,BR,1574136295,89,-7.63,-72.67,73.09,0.6
449,Inhambane,64,MZ,1574136340,86,-23.87,35.38,75.9,9.13
450,Kawalu,100,ID,1574136341,71,-7.38,108.21,80.58,4.41
451,Morehead,90,US,1574136342,80,38.18,-83.43,42.8,4.07
452,Potsdam,75,DE,1574136344,70,52.4,13.06,44.01,18.34
453,Sioux Lookout,90,CA,1574136346,86,50.1,-91.92,30.2,6.93
454,Jonesboro,90,US,1574136060,71,35.84,-90.7,51.8,12.75
455,Anloga,20,GH,1574136348,88,5.79,0.9,80.6,3.36
456,Yizheng,99,CN,1574136351,76,24.67,103.43,64.99,2.57
457,Elko,1,US,1574136352,59,40.83,-115.76,46.99,3.78
458,Khorixas,72,NA,1574136353,71,-20.37,14.96,54.68,2.35
459,Bethel,1,US,1574136355,77,60.79,-161.76,3.2,20.8
460,Rantepao,100,ID,1574136356,52,-2.97,119.9,83.53,4.92
461,Sao Joao da Barra,100,BR,1574136357,88,-21.64,-41.05,74.21,7.45
462,Samarai,100,PG,1574136359,89,-10.62,150.67,77.65,3.6
463,Verkhnevilyuysk,100,RU,1574136360,95,63.45,120.31,-11.67,5.37
464,Colac,88,AU,1574136361,83,-38.34,143.59,64.0,1.99
465,San Felipe,0,CL,1574136364,41,-32.75,-70.73,69.01,2.55
466,Bertoua,18,CM,1574136365,72,4.58,13.68,65.32,1.97
467,Sur,0,OM,1574136366,70,22.57,59.53,72.95,0.22
468,Bremervorde,100,DE,1574136308,100,53.48,9.13,46.4,17.22
469,Lang Son,100,VN,1574136371,67,21.83,106.73,59.41,7.07
470,Mubende,99,UG,1574136373,98,0.56,31.4,60.73,1.57
471,Tommot,100,RU,1574136374,93,58.97,126.27,-15.81,5.5
472,Kutum,100,SD,1574136376,19,14.2,24.66,63.88,4.16
473,Bubaque,100,GW,1574136378,69,11.28,-15.83,83.44,13.42
474,Seymchan,100,RU,1574136380,98,62.93,152.39,-14.67,1.99
475,Yumen,100,CN,1574136381,15,40.29,97.04,33.15,20.69
476,Bulembu,99,SZ,1574136384,82,-25.95,31.13,69.01,9.17
477,Chikodi,40,IN,1574136385,69,16.43,74.6,73.4,3.36
478,Tsabong,60,BW,1574136387,22,-26.02,22.4,71.37,9.98
479,Isiro,51,CD,1574136388,98,2.77,27.62,65.23,1.34
480,San Juan Bautista,0,PY,1574136321,59,-26.67,-57.15,75.56,4.88
481,Rockhampton,69,AU,1574136391,38,-23.38,150.51,91.4,5.82
482,Khovu-Aksy,100,RU,1574136392,83,51.13,93.72,8.22,8.81
483,Mudanya,0,TR,1574136394,100,40.38,28.88,53.6,1.12
484,The Valley,20,AI,1574136395,83,18.22,-63.06,80.6,2.24
485,Hamilton,90,CA,1574136396,100,43.26,-79.87,37.99,3.36
486,Farafangana,45,MG,1574136398,86,-22.82,47.83,78.19,9.44
487,Jacareacanga,90,BR,1574136399,97,-6.22,-57.76,71.22,1.01
488,Blythe,1,US,1574136400,20,33.61,-114.59,66.2,6.93
489,Sao Felix do Xingu,82,BR,1574136402,96,-6.64,-51.99,71.73,0.92
490,Michurinsk,90,RU,1574136404,100,52.9,40.48,35.6,4.47
491,Touho,100,NC,1574136405,37,-20.78,165.23,85.71,7.94
492,Fuerte Olimpo,0,BR,1574136406,37,-21.04,-57.87,80.02,2.71
493,Mana,85,NG,1574136409,26,13.03,5.27,76.89,3.53
494,Port Moresby,40,PG,1574136410,79,-9.47,147.16,84.2,17.22
495,Tanout,1,NE,1574136411,22,14.97,8.88,80.19,6.49
496,Clyde River,40,CA,1574136413,84,70.47,-68.59,3.2,10.29
497,Galesong,40,ID,1574136414,59,-5.32,119.37,91.4,8.05
498,Dunmore Town,100,BS,1574136415,66,25.5,-76.65,74.3,9.26
499,Gwadar,52,PK,1574136417,42,25.12,62.33,76.95,9.24
500,Sarkand,69,KZ,1574136418,51,45.41,79.91,32.88,2.15
501,Quatre Cocos,40,MU,1574136420,94,-20.21,57.76,79.0,1.12
502,Padang,100,ID,1574136421,68,-0.92,100.36,79.83,2.21
503,Saint-Francois,100,FR,1574136423,94,46.42,3.91,41.0,4.34
504,La Asuncion,100,AR,1574136424,49,-26.05,-65.39,70.38,2.3
505,Borogontsy,98,RU,1574136426,94,62.67,131.17,-13.07,3.29
506,Griffith,0,AU,1574136427,10,-34.29,146.06,95.0,23.04
507,Hornepayne,100,CA,1574136429,98,49.22,-84.78,32.58,4.99
508,Bako,0,BF,1574136431,26,12.29,-0.73,78.17,8.63
509,Semporna,75,MY,1574136433,66,4.48,118.61,89.6,8.05
510,Posse,53,BR,1574136434,92,-14.08,-46.36,69.33,1.72
511,Menongue,100,AO,1574136436,66,-14.66,17.68,61.25,5.3
512,Xiongzhou,0,CN,1574136437,27,32.34,118.83,55.99,6.71
513,Melipilla,100,CL,1574136438,22,-33.69,-71.21,77.0,10.29
514,Pindushi,100,RU,1574136440,95,62.92,34.58,31.24,5.28
515,Lyuban,100,BY,1574136441,87,52.8,28.0,39.38,9.17
516,Batagay,55,RU,1574136442,94,67.65,134.64,-19.3,1.92
517,Lavrentiya,28,RU,1574136444,74,65.58,-170.99,22.69,17.02
518,Karwar,66,IN,1574136445,68,14.8,74.13,81.05,6.42
519,Ixtapa,40,MX,1574136447,83,20.71,-105.21,77.0,2.1
520,Forio,75,IT,1574136449,87,40.73,13.86,63.0,6.93
521,Frolovo,100,RU,1574136272,93,49.76,43.65,30.0,1.01
522,San Quintin,100,PH,1574136452,75,17.54,120.52,80.74,13.35
523,Hadejia,94,NG,1574136454,29,12.45,10.04,74.7,1.21
524,Lagunas,70,PE,1574136455,72,-5.23,-75.68,78.03,2.01
525,Salym,100,RU,1574136456,95,60.06,71.48,-19.28,8.55
526,Zhicheng,0,CN,1574136458,15,35.04,112.59,52.47,2.24
527,Ambanja,20,MG,1574136459,100,-13.68,48.45,77.0,2.24
528,Brindisi,100,IT,1574136373,82,40.63,17.94,62.01,4.7
529,Isoka,100,ZM,1574136463,92,-10.15,32.64,64.98,0.51
530,Nador,75,MA,1574136465,62,35.17,-2.93,57.2,4.7
531,Abilene,1,US,1574136467,50,32.45,-99.73,59.0,6.17
532,Juneau,90,US,1574136224,100,58.3,-134.42,39.2,4.7
533,Bayanday,85,RU,1574136470,80,53.07,105.52,-0.42,6.44
534,Limulunga,100,ZM,1574136471,78,-15.13,23.15,71.67,7.02
535,Shache,0,CN,1574136473,96,38.42,77.24,41.0,2.44
536,Gamboma,100,CG,1574136474,89,-1.87,15.88,72.25,0.51
537,San Carlos de Bariloche,100,AR,1574136476,75,-41.13,-71.31,42.8,3.36
538,Santa Maria,40,BR,1574136477,83,-16.02,-48.01,71.6,2.24
539,Santa Rosa,19,AR,1574136478,29,-36.62,-64.29,61.52,7.02
540,Cacoal,93,BR,1574136480,94,-11.43,-61.44,73.35,6.08
541,La Paz Centro,40,NI,1574136482,78,12.34,-86.68,77.0,6.93
542,Esso,63,RU,1574136483,79,55.93,158.7,12.29,3.22
543,Ano Mera,6,GR,1574136485,82,37.45,25.4,66.2,11.41
544,Aripuana,100,BR,1574136486,99,-9.17,-60.63,73.08,3.18
545,Gorom-Gorom,33,BF,1574136487,13,14.45,-0.24,77.88,10.36
546,Xam Nua,99,LA,1574136489,94,20.42,104.04,61.32,2.73
547,Vao,100,EE,1574136490,87,59.1,26.19,43.25,9.84
548,Myitkyina,1,MM,1574136492,62,25.38,97.4,75.24,2.73
549,Port Hawkesbury,90,CA,1574136493,93,45.62,-61.36,42.01,21.92
550,Padilla,40,CO,1574136495,77,3.23,-76.31,69.8,4.7
551,Basco,90,US,1574136496,93,40.33,-91.2,44.01,4.7
552,Ancud,20,CL,1574136498,100,-41.87,-73.83,51.8,8.05
